products pairs;sales num;support
('pip fruit', 'frozen vegetables');72;0.0073
('pip fruit', 'chicken');47;0.0048
('pip fruit', 'white bread');65;0.0066
('pip fruit', 'cream cheese');60;0.0061
('pip fruit', 'waffles');44;0.0045
('pip fruit', 'salty snack');40;0.0041
('pip fruit', 'long life bakery product');45;0.0046
('pip fruit', 'dessert');49;0.005
('pip fruit', 'sugar');47;0.0048
('pip fruit', 'UHT-milk');37;0.0038
('pip fruit', 'berries');37;0.0038
('pip fruit', 'hamburger meat');44;0.0045
('pip fruit', 'hygiene articles');47;0.0048
('pip fruit', 'onions');34;0.0035
('pip fruit', 'specialty chocolate');21;0.0021
('pip fruit', 'candy');23;0.0023
('pip fruit', 'frozen meals');45;0.0046
('pip fruit', 'misc. beverages');21;0.0021
('pip fruit', 'oil');29;0.0029
('pip fruit', 'butter milk');50;0.0051
('pip fruit', 'specialty bar');21;0.0021
('pip fruit', 'ham');39;0.004
('pip fruit', 'beverages');28;0.0028
('pip fruit', 'meat');27;0.0027
('pip fruit', 'ice cream');24;0.0024
('pip fruit', 'hard cheese');30;0.0031
('pip fruit', 'sliced cheese');41;0.0042
('pip fruit', 'cat food');24;0.0024
('pip fruit', 'grapes');37;0.0038
('pip fruit', 'chewing gum');22;0.0022
('pip fruit', 'detergent');25;0.0025
('pip fruit', 'red/blush wine');15;0.0015
('pip fruit', 'white wine');13;0.0013
('pip fruit', 'pickled vegetables');24;0.0024
('pip fruit', 'baking powder');25;0.0025
('pip fruit', 'semi-finished bread');27;0.0027
('pip fruit', 'dishes');10;0.001
('pip fruit', 'flour');23;0.0023
('pip fruit', 'potted plants');21;0.0021
('pip fruit', 'soft cheese');29;0.0029
('pip fruit', 'processed cheese');23;0.0023
('pip fruit', 'herbs');24;0.0024
('pip fruit', 'pasta');23;0.0023
('pip fruit', 'canned fish');15;0.0015
('pip fruit', 'seasonal products');15;0.0015
('pip fruit', 'cake bar');18;0.0018
('pip fruit', 'packaged fruit/vegetables');9;0.0009
('pip fruit', 'mustard');11;0.0011
('pip fruit', 'frozen fish');21;0.0021
('pip fruit', 'cling film/bags');12;0.0012
('pip fruit', 'spread cheese');13;0.0013
('pip fruit', 'liquor');4;0.0004
('pip fruit', 'salt');15;0.0015
('pip fruit', 'frozen dessert');12;0.0012
('pip fruit', 'canned vegetables');17;0.0017
('pip fruit', 'dish cleaner');13;0.0013
('pip fruit', 'flower (seeds)');6;0.0006
('pip fruit', 'roll products');12;0.0012
('pip fruit', 'condensed milk');14;0.0014
('pip fruit', 'pet care');11;0.0011
('pip fruit', 'photo/film');6;0.0006
('pip fruit', 'mayonnaise');12;0.0012
('pip fruit', 'chocolate marshmallow');8;0.0008
('pip fruit', 'sweet spreads');14;0.0014
('pip fruit', 'candles');9;0.0009
('pip fruit', 'specialty cheese');14;0.0014
('pip fruit', 'dog food');11;0.0011
('pip fruit', 'frozen potato products');13;0.0013
('pip fruit', 'house keeping products');10;0.001
('pip fruit', 'turkey');16;0.0016
('pip fruit', 'Instant food products');10;0.001
('pip fruit', 'liquor (appetizer)');3;0.0003
('pip fruit', 'rice');14;0.0014
('pip fruit', 'instant coffee');6;0.0006
('pip fruit', 'popcorn');8;0.0008
('pip fruit', 'zwieback');9;0.0009
('pip fruit', 'soups');14;0.0014
('pip fruit', 'finished products');8;0.0008
('pip fruit', 'vinegar');7;0.0007
('pip fruit', 'female sanitary products');5;0.0005
('pip fruit', 'kitchen towels');10;0.001
('pip fruit', 'dental care');8;0.0008
('pip fruit', 'cereals');9;0.0009
('pip fruit', 'sparkling wine');5;0.0005
('pip fruit', 'sauces');9;0.0009
('pip fruit', 'softener');11;0.0011
('pip fruit', 'jam');8;0.0008
('pip fruit', 'spices');11;0.0011
('pip fruit', 'curd cheese');6;0.0006
('pip fruit', 'liver loaf');9;0.0009
('pip fruit', 'cleaner');0;0.0
('pip fruit', 'male cosmetics');4;0.0004
('pip fruit', 'rum');5;0.0005
('pip fruit', 'ketchup');8;0.0008
('pip fruit', 'meat spreads');5;0.0005
('pip fruit', 'brandy');3;0.0003
('pip fruit', 'light bulbs');6;0.0006
('pip fruit', 'tea');8;0.0008
('pip fruit', 'specialty fat');4;0.0004
('pip fruit', 'abrasive cleaner');4;0.0004
('pip fruit', 'skin care');2;0.0002
('pip fruit', 'nuts/prunes');6;0.0006
('pip fruit', 'syrup');5;0.0005
('pip fruit', 'canned fruit');4;0.0004
('pip fruit', 'artif. sweetener');2;0.0002
('pip fruit', 'nut snack');2;0.0002
('pip fruit', 'snack products');1;0.0001
('pip fruit', 'fish');1;0.0001
('pip fruit', 'potato products');5;0.0005
('pip fruit', 'bathroom cleaner');0;0.0
('pip fruit', 'cookware');7;0.0007
('pip fruit', 'soap');1;0.0001
('pip fruit', 'cooking chocolate');3;0.0003
('pip fruit', 'pudding powder');2;0.0002
('pip fruit', 'tidbits');4;0.0004
('pip fruit', 'organic sausage');4;0.0004
('pip fruit', 'cocoa drinks');4;0.0004
('pip fruit', 'prosecco');1;0.0001
('pip fruit', 'flower soil/fertilizer');2;0.0002
('pip fruit', 'ready soups');4;0.0004
('pip fruit', 'specialty vegetables');4;0.0004
('pip fruit', 'organic products');4;0.0004
('pip fruit', 'honey');2;0.0002
('pip fruit', 'decalcifier');1;0.0001
('pip fruit', 'cream');1;0.0001
('pip fruit', 'frozen fruits');1;0.0001
('pip fruit', 'hair spray');0;0.0
('pip fruit', 'rubbing alcohol');3;0.0003
('pip fruit', 'liqueur');1;0.0001
('pip fruit', 'whisky');1;0.0001
('pip fruit', 'salad dressing');3;0.0003
('pip fruit', 'make up remover');1;0.0001
('pip fruit', 'toilet cleaner');0;0.0
('pip fruit', 'frozen chicken');0;0.0
('pip fruit', 'baby cosmetics');1;0.0001
('pip fruit', 'bags');1;0.0001
('pip fruit', 'kitchen utensil');1;0.0001
('pip fruit', 'preservation products');0;0.0
('pip fruit', 'baby food');1;0.0001
('pip fruit', 'sound storage medium');0;0.0
('fruit/vegetable juice', 'whipped/sour cream');89;0.009
('fruit/vegetable juice', 'brown bread');82;0.0083
('fruit/vegetable juice', 'domestic eggs');79;0.008
('fruit/vegetable juice', 'frankfurter');52;0.0053
('fruit/vegetable juice', 'margarine');61;0.0062
('fruit/vegetable juice', 'coffee');59;0.006
('fruit/vegetable juice', 'pork');48;0.0049
('fruit/vegetable juice', 'butter');79;0.008
('fruit/vegetable juice', 'curd');48;0.0049
('fruit/vegetable juice', 'beef');50;0.0051
('fruit/vegetable juice', 'napkins');68;0.0069
('fruit/vegetable juice', 'chocolate');67;0.0068
('fruit/vegetable juice', 'frozen vegetables');77;0.0078
('fruit/vegetable juice', 'chicken');36;0.0037
('fruit/vegetable juice', 'white bread');73;0.0074
('fruit/vegetable juice', 'cream cheese');56;0.0057
('fruit/vegetable juice', 'waffles');37;0.0038
('fruit/vegetable juice', 'salty snack');59;0.006
('fruit/vegetable juice', 'long life bakery product');61;0.0062
('fruit/vegetable juice', 'dessert');59;0.006
('fruit/vegetable juice', 'sugar');47;0.0048
('fruit/vegetable juice', 'UHT-milk');39;0.004
('fruit/vegetable juice', 'berries');36;0.0037
('fruit/vegetable juice', 'hamburger meat');35;0.0036
('fruit/vegetable juice', 'hygiene articles');38;0.0039
('fruit/vegetable juice', 'onions');37;0.0038
('fruit/vegetable juice', 'specialty chocolate');26;0.0026
('fruit/vegetable juice', 'candy');39;0.004
('fruit/vegetable juice', 'frozen meals');39;0.004
('fruit/vegetable juice', 'misc. beverages');39;0.004
('fruit/vegetable juice', 'oil');37;0.0038
('fruit/vegetable juice', 'butter milk');46;0.0047
('fruit/vegetable juice', 'specialty bar');26;0.0026
('fruit/vegetable juice', 'ham');38;0.0039
('fruit/vegetable juice', 'beverages');28;0.0028
('fruit/vegetable juice', 'meat');30;0.0031
('fruit/vegetable juice', 'ice cream');21;0.0021
('fruit/vegetable juice', 'hard cheese');41;0.0042
('fruit/vegetable juice', 'sliced cheese');41;0.0042
('fruit/vegetable juice', 'cat food');23;0.0023
('fruit/vegetable juice', 'grapes');32;0.0033
('fruit/vegetable juice', 'chewing gum');20;0.002
('fruit/vegetable juice', 'detergent');13;0.0013
('fruit/vegetable juice', 'red/blush wine');18;0.0018
('fruit/vegetable juice', 'white wine');16;0.0016
('fruit/vegetable juice', 'pickled vegetables');24;0.0024
('fruit/vegetable juice', 'baking powder');22;0.0022
('fruit/vegetable juice', 'semi-finished bread');24;0.0024
('fruit/vegetable juice', 'dishes');13;0.0013
('fruit/vegetable juice', 'flour');24;0.0024
('fruit/vegetable juice', 'potted plants');25;0.0025
('fruit/vegetable juice', 'soft cheese');27;0.0027
('fruit/vegetable juice', 'processed cheese');29;0.0029
('fruit/vegetable juice', 'herbs');15;0.0015
('fruit/vegetable juice', 'pasta');21;0.0021
('fruit/vegetable juice', 'canned fish');16;0.0016
('fruit/vegetable juice', 'seasonal products');9;0.0009
('fruit/vegetable juice', 'cake bar');13;0.0013
('fruit/vegetable juice', 'packaged fruit/vegetables');12;0.0012
('fruit/vegetable juice', 'mustard');17;0.0017
('fruit/vegetable juice', 'frozen fish');12;0.0012
('fruit/vegetable juice', 'cling film/bags');13;0.0013
('fruit/vegetable juice', 'spread cheese');14;0.0014
('fruit/vegetable juice', 'liquor');2;0.0002
('fruit/vegetable juice', 'salt');15;0.0015
('fruit/vegetable juice', 'frozen dessert');11;0.0011
('fruit/vegetable juice', 'canned vegetables');15;0.0015
('fruit/vegetable juice', 'dish cleaner');3;0.0003
('fruit/vegetable juice', 'flower (seeds)');4;0.0004
('fruit/vegetable juice', 'roll products');14;0.0014
('fruit/vegetable juice', 'condensed milk');16;0.0016
('fruit/vegetable juice', 'pet care');11;0.0011
('fruit/vegetable juice', 'photo/film');4;0.0004
('fruit/vegetable juice', 'mayonnaise');12;0.0012
('fruit/vegetable juice', 'chocolate marshmallow');4;0.0004
('fruit/vegetable juice', 'sweet spreads');15;0.0015
('fruit/vegetable juice', 'candles');7;0.0007
('fruit/vegetable juice', 'specialty cheese');7;0.0007
('fruit/vegetable juice', 'dog food');15;0.0015
('fruit/vegetable juice', 'frozen potato products');16;0.0016
('fruit/vegetable juice', 'house keeping products');7;0.0007
('fruit/vegetable juice', 'turkey');15;0.0015
('fruit/vegetable juice', 'Instant food products');9;0.0009
('fruit/vegetable juice', 'liquor (appetizer)');4;0.0004
('fruit/vegetable juice', 'rice');19;0.0019
('fruit/vegetable juice', 'instant coffee');7;0.0007
('fruit/vegetable juice', 'popcorn');13;0.0013
('fruit/vegetable juice', 'zwieback');7;0.0007
('fruit/vegetable juice', 'soups');5;0.0005
('fruit/vegetable juice', 'finished products');10;0.001
('fruit/vegetable juice', 'vinegar');8;0.0008
('fruit/vegetable juice', 'female sanitary products');3;0.0003
('fruit/vegetable juice', 'kitchen towels');9;0.0009
('fruit/vegetable juice', 'dental care');7;0.0007
('fruit/vegetable juice', 'cereals');8;0.0008
('fruit/vegetable juice', 'sparkling wine');8;0.0008
('fruit/vegetable juice', 'sauces');7;0.0007
('fruit/vegetable juice', 'softener');4;0.0004
('fruit/vegetable juice', 'jam');8;0.0008
('fruit/vegetable juice', 'spices');3;0.0003
('fruit/vegetable juice', 'curd cheese');7;0.0007
('fruit/vegetable juice', 'liver loaf');8;0.0008
('fruit/vegetable juice', 'cleaner');7;0.0007
('fruit/vegetable juice', 'male cosmetics');3;0.0003
('fruit/vegetable juice', 'rum');4;0.0004
('fruit/vegetable juice', 'ketchup');2;0.0002
('fruit/vegetable juice', 'meat spreads');6;0.0006
('fruit/vegetable juice', 'brandy');2;0.0002
('fruit/vegetable juice', 'light bulbs');4;0.0004
('fruit/vegetable juice', 'tea');7;0.0007
('fruit/vegetable juice', 'specialty fat');5;0.0005
('fruit/vegetable juice', 'abrasive cleaner');4;0.0004
('fruit/vegetable juice', 'skin care');4;0.0004
('fruit/vegetable juice', 'nuts/prunes');3;0.0003
('fruit/vegetable juice', 'syrup');4;0.0004
('fruit/vegetable juice', 'canned fruit');5;0.0005
('fruit/vegetable juice', 'artif. sweetener');3;0.0003
('fruit/vegetable juice', 'nut snack');5;0.0005
('fruit/vegetable juice', 'snack products');3;0.0003
('fruit/vegetable juice', 'fish');2;0.0002
('fruit/vegetable juice', 'potato products');7;0.0007
('fruit/vegetable juice', 'bathroom cleaner');4;0.0004
('fruit/vegetable juice', 'cookware');2;0.0002
('fruit/vegetable juice', 'soap');6;0.0006
('fruit/vegetable juice', 'cooking chocolate');5;0.0005
('fruit/vegetable juice', 'pudding powder');2;0.0002
('fruit/vegetable juice', 'tidbits');2;0.0002
('fruit/vegetable juice', 'organic sausage');4;0.0004
('fruit/vegetable juice', 'cocoa drinks');3;0.0003
('fruit/vegetable juice', 'prosecco');2;0.0002
('fruit/vegetable juice', 'flower soil/fertilizer');0;0.0
('fruit/vegetable juice', 'ready soups');1;0.0001
('fruit/vegetable juice', 'specialty vegetables');0;0.0
('fruit/vegetable juice', 'organic products');3;0.0003
('fruit/vegetable juice', 'honey');1;0.0001
('fruit/vegetable juice', 'decalcifier');4;0.0004
('fruit/vegetable juice', 'cream');4;0.0004
('fruit/vegetable juice', 'frozen fruits');1;0.0001
('fruit/vegetable juice', 'hair spray');2;0.0002
('fruit/vegetable juice', 'rubbing alcohol');0;0.0
('fruit/vegetable juice', 'liqueur');0;0.0
('fruit/vegetable juice', 'whisky');2;0.0002
('fruit/vegetable juice', 'salad dressing');0;0.0
('fruit/vegetable juice', 'make up remover');3;0.0003
('fruit/vegetable juice', 'toilet cleaner');0;0.0
('fruit/vegetable juice', 'frozen chicken');2;0.0002
('fruit/vegetable juice', 'baby cosmetics');0;0.0
('fruit/vegetable juice', 'bags');1;0.0001
('fruit/vegetable juice', 'kitchen utensil');0;0.0
('fruit/vegetable juice', 'preservation products');0;0.0
('fruit/vegetable juice', 'baby food');1;0.0001
('fruit/vegetable juice', 'sound storage medium');0;0.0
('whipped/sour cream', 'brown bread');46;0.0047
('whipped/sour cream', 'domestic eggs');98;0.01
('whipped/sour cream', 'frankfurter');61;0.0062
('whipped/sour cream', 'margarine');67;0.0068
('whipped/sour cream', 'coffee');60;0.0061
('whipped/sour cream', 'pork');81;0.0082
('whipped/sour cream', 'butter');100;0.0102
('whipped/sour cream', 'curd');103;0.0105
('whipped/sour cream', 'beef');66;0.0067
('whipped/sour cream', 'napkins');71;0.0072
('whipped/sour cream', 'chocolate');45;0.0046
('whipped/sour cream', 'frozen vegetables');78;0.0079
('whipped/sour cream', 'chicken');71;0.0072
('whipped/sour cream', 'white bread');54;0.0055
('whipped/sour cream', 'cream cheese');63;0.0064
('whipped/sour cream', 'waffles');50;0.0051
('whipped/sour cream', 'salty snack');51;0.0052
('whipped/sour cream', 'long life bakery product');57;0.0058
('whipped/sour cream', 'dessert');48;0.0049
('whipped/sour cream', 'sugar');48;0.0049
('whipped/sour cream', 'UHT-milk');30;0.0031
('whipped/sour cream', 'berries');89;0.009
('whipped/sour cream', 'hamburger meat');42;0.0043
('whipped/sour cream', 'hygiene articles');42;0.0043
('whipped/sour cream', 'onions');50;0.0051
('whipped/sour cream', 'specialty chocolate');27;0.0027
('whipped/sour cream', 'candy');35;0.0036
('whipped/sour cream', 'frozen meals');28;0.0028
('whipped/sour cream', 'misc. beverages');18;0.0018
('whipped/sour cream', 'oil');44;0.0045
('whipped/sour cream', 'butter milk');38;0.0039
('whipped/sour cream', 'specialty bar');15;0.0015
('whipped/sour cream', 'ham');41;0.0042
('whipped/sour cream', 'beverages');23;0.0023
('whipped/sour cream', 'meat');35;0.0036
('whipped/sour cream', 'ice cream');26;0.0026
('whipped/sour cream', 'hard cheese');44;0.0045
('whipped/sour cream', 'sliced cheese');38;0.0039
('whipped/sour cream', 'cat food');28;0.0028
('whipped/sour cream', 'grapes');30;0.0031
('whipped/sour cream', 'chewing gum');17;0.0017
('whipped/sour cream', 'detergent');19;0.0019
('whipped/sour cream', 'red/blush wine');9;0.0009
('whipped/sour cream', 'white wine');5;0.0005
('whipped/sour cream', 'pickled vegetables');17;0.0017
('whipped/sour cream', 'baking powder');45;0.0046
('whipped/sour cream', 'semi-finished bread');24;0.0024
('whipped/sour cream', 'dishes');18;0.0018
('whipped/sour cream', 'flour');40;0.0041
('whipped/sour cream', 'potted plants');19;0.0019
('whipped/sour cream', 'soft cheese');30;0.0031
('whipped/sour cream', 'processed cheese');19;0.0019
('whipped/sour cream', 'herbs');31;0.0032
('whipped/sour cream', 'pasta');23;0.0023
('whipped/sour cream', 'canned fish');17;0.0017
('whipped/sour cream', 'seasonal products');11;0.0011
('whipped/sour cream', 'cake bar');10;0.001
('whipped/sour cream', 'packaged fruit/vegetables');14;0.0014
('whipped/sour cream', 'mustard');10;0.001
('whipped/sour cream', 'frozen fish');7;0.0007
('whipped/sour cream', 'cling film/bags');13;0.0013
('whipped/sour cream', 'spread cheese');5;0.0005
('whipped/sour cream', 'liquor');5;0.0005
('whipped/sour cream', 'salt');21;0.0021
('whipped/sour cream', 'frozen dessert');14;0.0014
('whipped/sour cream', 'canned vegetables');16;0.0016
('whipped/sour cream', 'dish cleaner');17;0.0017
('whipped/sour cream', 'flower (seeds)');16;0.0016
('whipped/sour cream', 'roll products');18;0.0018
('whipped/sour cream', 'condensed milk');9;0.0009
('whipped/sour cream', 'pet care');8;0.0008
('whipped/sour cream', 'photo/film');6;0.0006
('whipped/sour cream', 'mayonnaise');15;0.0015
('whipped/sour cream', 'chocolate marshmallow');9;0.0009
('whipped/sour cream', 'sweet spreads');9;0.0009
('whipped/sour cream', 'candles');6;0.0006
('whipped/sour cream', 'specialty cheese');14;0.0014
('whipped/sour cream', 'dog food');9;0.0009
('whipped/sour cream', 'frozen potato products');9;0.0009
('whipped/sour cream', 'house keeping products');13;0.0013
('whipped/sour cream', 'turkey');13;0.0013
('whipped/sour cream', 'Instant food products');7;0.0007
('whipped/sour cream', 'liquor (appetizer)');7;0.0007
('whipped/sour cream', 'rice');10;0.001
('whipped/sour cream', 'instant coffee');13;0.0013
('whipped/sour cream', 'popcorn');7;0.0007
('whipped/sour cream', 'zwieback');5;0.0005
('whipped/sour cream', 'soups');15;0.0015
('whipped/sour cream', 'finished products');5;0.0005
('whipped/sour cream', 'vinegar');9;0.0009
('whipped/sour cream', 'female sanitary products');7;0.0007
('whipped/sour cream', 'kitchen towels');9;0.0009
('whipped/sour cream', 'dental care');4;0.0004
('whipped/sour cream', 'cereals');10;0.001
('whipped/sour cream', 'sparkling wine');5;0.0005
('whipped/sour cream', 'sauces');5;0.0005
('whipped/sour cream', 'softener');9;0.0009
('whipped/sour cream', 'jam');9;0.0009
('whipped/sour cream', 'spices');6;0.0006
('whipped/sour cream', 'curd cheese');8;0.0008
('whipped/sour cream', 'liver loaf');5;0.0005
('whipped/sour cream', 'cleaner');9;0.0009
('whipped/sour cream', 'male cosmetics');2;0.0002
('whipped/sour cream', 'rum');3;0.0003
('whipped/sour cream', 'ketchup');7;0.0007
('whipped/sour cream', 'meat spreads');5;0.0005
('whipped/sour cream', 'brandy');0;0.0
('whipped/sour cream', 'light bulbs');1;0.0001
('whipped/sour cream', 'tea');5;0.0005
('whipped/sour cream', 'specialty fat');8;0.0008
('whipped/sour cream', 'abrasive cleaner');8;0.0008
('whipped/sour cream', 'skin care');6;0.0006
('whipped/sour cream', 'nuts/prunes');2;0.0002
('whipped/sour cream', 'syrup');3;0.0003
('whipped/sour cream', 'canned fruit');4;0.0004
('whipped/sour cream', 'artif. sweetener');1;0.0001
('whipped/sour cream', 'nut snack');4;0.0004
('whipped/sour cream', 'snack products');1;0.0001
('whipped/sour cream', 'fish');3;0.0003
('whipped/sour cream', 'potato products');3;0.0003
('whipped/sour cream', 'bathroom cleaner');4;0.0004
('whipped/sour cream', 'cookware');3;0.0003
('whipped/sour cream', 'soap');2;0.0002
('whipped/sour cream', 'cooking chocolate');5;0.0005
('whipped/sour cream', 'pudding powder');8;0.0008
('whipped/sour cream', 'tidbits');1;0.0001
('whipped/sour cream', 'organic sausage');4;0.0004
('whipped/sour cream', 'cocoa drinks');4;0.0004
('whipped/sour cream', 'prosecco');0;0.0
('whipped/sour cream', 'flower soil/fertilizer');1;0.0001
('whipped/sour cream', 'ready soups');1;0.0001
('whipped/sour cream', 'specialty vegetables');5;0.0005
('whipped/sour cream', 'organic products');2;0.0002
('whipped/sour cream', 'honey');0;0.0
('whipped/sour cream', 'decalcifier');4;0.0004
('whipped/sour cream', 'cream');2;0.0002
('whipped/sour cream', 'frozen fruits');6;0.0006
('whipped/sour cream', 'hair spray');1;0.0001
('whipped/sour cream', 'rubbing alcohol');0;0.0
('whipped/sour cream', 'liqueur');1;0.0001
('whipped/sour cream', 'whisky');0;0.0
('whipped/sour cream', 'salad dressing');2;0.0002
('whipped/sour cream', 'make up remover');0;0.0
('whipped/sour cream', 'toilet cleaner');0;0.0
('whipped/sour cream', 'frozen chicken');0;0.0
('whipped/sour cream', 'baby cosmetics');1;0.0001
('whipped/sour cream', 'bags');0;0.0
('whipped/sour cream', 'kitchen utensil');1;0.0001
('whipped/sour cream', 'preservation products');2;0.0002
('whipped/sour cream', 'baby food');1;0.0001
('whipped/sour cream', 'sound storage medium');0;0.0
('brown bread', 'domestic eggs');67;0.0068
('brown bread', 'frankfurter');70;0.0071
('brown bread', 'margarine');64;0.0065
('brown bread', 'coffee');37;0.0038
('brown bread', 'pork');55;0.0056
('brown bread', 'butter');57;0.0058
('brown bread', 'curd');48;0.0049
('brown bread', 'beef');44;0.0045
('brown bread', 'napkins');47;0.0048
('brown bread', 'chocolate');38;0.0039
('brown bread', 'frozen vegetables');38;0.0039
('brown bread', 'chicken');36;0.0037
('brown bread', 'white bread');46;0.0047
('brown bread', 'cream cheese');48;0.0049
('brown bread', 'waffles');23;0.0023
('brown bread', 'salty snack');24;0.0024
('brown bread', 'long life bakery product');33;0.0034
('brown bread', 'dessert');47;0.0048
('brown bread', 'sugar');33;0.0034
('brown bread', 'UHT-milk');40;0.0041
('brown bread', 'berries');31;0.0032
('brown bread', 'hamburger meat');32;0.0033
('brown bread', 'hygiene articles');30;0.0031
('brown bread', 'onions');32;0.0033
('brown bread', 'specialty chocolate');24;0.0024
('brown bread', 'candy');22;0.0022
('brown bread', 'frozen meals');28;0.0028
('brown bread', 'misc. beverages');17;0.0017
('brown bread', 'oil');23;0.0023
('brown bread', 'butter milk');37;0.0038
('brown bread', 'specialty bar');12;0.0012
('brown bread', 'ham');26;0.0026
('brown bread', 'beverages');19;0.0019
('brown bread', 'meat');38;0.0039
('brown bread', 'ice cream');16;0.0016
('brown bread', 'hard cheese');22;0.0022
('brown bread', 'sliced cheese');28;0.0028
('brown bread', 'cat food');20;0.002
('brown bread', 'grapes');22;0.0022
('brown bread', 'chewing gum');4;0.0004
('brown bread', 'detergent');13;0.0013
('brown bread', 'red/blush wine');14;0.0014
('brown bread', 'white wine');11;0.0011
('brown bread', 'pickled vegetables');19;0.0019
('brown bread', 'baking powder');10;0.001
('brown bread', 'semi-finished bread');17;0.0017
('brown bread', 'dishes');10;0.001
('brown bread', 'flour');14;0.0014
('brown bread', 'potted plants');16;0.0016
('brown bread', 'soft cheese');20;0.002
('brown bread', 'processed cheese');15;0.0015
('brown bread', 'herbs');15;0.0015
('brown bread', 'pasta');13;0.0013
('brown bread', 'canned fish');23;0.0023
('brown bread', 'seasonal products');15;0.0015
('brown bread', 'cake bar');9;0.0009
('brown bread', 'packaged fruit/vegetables');16;0.0016
('brown bread', 'mustard');9;0.0009
('brown bread', 'frozen fish');10;0.001
('brown bread', 'cling film/bags');8;0.0008
('brown bread', 'spread cheese');17;0.0017
('brown bread', 'liquor');7;0.0007
('brown bread', 'salt');9;0.0009
('brown bread', 'frozen dessert');7;0.0007
('brown bread', 'canned vegetables');13;0.0013
('brown bread', 'dish cleaner');11;0.0011
('brown bread', 'flower (seeds)');11;0.0011
('brown bread', 'roll products');10;0.001
('brown bread', 'condensed milk');5;0.0005
('brown bread', 'pet care');7;0.0007
('brown bread', 'photo/film');4;0.0004
('brown bread', 'mayonnaise');11;0.0011
('brown bread', 'chocolate marshmallow');3;0.0003
('brown bread', 'sweet spreads');11;0.0011
('brown bread', 'candles');2;0.0002
('brown bread', 'specialty cheese');4;0.0004
('brown bread', 'dog food');10;0.001
('brown bread', 'frozen potato products');6;0.0006
('brown bread', 'house keeping products');10;0.001
('brown bread', 'turkey');13;0.0013
('brown bread', 'Instant food products');7;0.0007
('brown bread', 'liquor (appetizer)');2;0.0002
('brown bread', 'rice');3;0.0003
('brown bread', 'instant coffee');2;0.0002
('brown bread', 'popcorn');6;0.0006
('brown bread', 'zwieback');2;0.0002
('brown bread', 'soups');6;0.0006
('brown bread', 'finished products');8;0.0008
('brown bread', 'vinegar');4;0.0004
('brown bread', 'female sanitary products');3;0.0003
('brown bread', 'kitchen towels');9;0.0009
('brown bread', 'dental care');8;0.0008
('brown bread', 'cereals');7;0.0007
('brown bread', 'sparkling wine');3;0.0003
('brown bread', 'sauces');12;0.0012
('brown bread', 'softener');4;0.0004
('brown bread', 'jam');7;0.0007
('brown bread', 'spices');3;0.0003
('brown bread', 'curd cheese');4;0.0004
('brown bread', 'liver loaf');5;0.0005
('brown bread', 'cleaner');2;0.0002
('brown bread', 'male cosmetics');2;0.0002
('brown bread', 'rum');3;0.0003
('brown bread', 'ketchup');7;0.0007
('brown bread', 'meat spreads');9;0.0009
('brown bread', 'brandy');3;0.0003
('brown bread', 'light bulbs');4;0.0004
('brown bread', 'tea');2;0.0002
('brown bread', 'specialty fat');1;0.0001
('brown bread', 'abrasive cleaner');4;0.0004
('brown bread', 'skin care');0;0.0
('brown bread', 'nuts/prunes');2;0.0002
('brown bread', 'syrup');5;0.0005
('brown bread', 'canned fruit');5;0.0005
('brown bread', 'artif. sweetener');3;0.0003
('brown bread', 'nut snack');2;0.0002
('brown bread', 'snack products');1;0.0001
('brown bread', 'fish');2;0.0002
('brown bread', 'potato products');3;0.0003
('brown bread', 'bathroom cleaner');1;0.0001
('brown bread', 'cookware');2;0.0002
('brown bread', 'soap');0;0.0
('brown bread', 'cooking chocolate');0;0.0
('brown bread', 'pudding powder');2;0.0002
('brown bread', 'tidbits');1;0.0001
('brown bread', 'organic sausage');2;0.0002
('brown bread', 'cocoa drinks');1;0.0001
('brown bread', 'prosecco');0;0.0
('brown bread', 'flower soil/fertilizer');0;0.0
('brown bread', 'ready soups');2;0.0002
('brown bread', 'specialty vegetables');2;0.0002
('brown bread', 'organic products');2;0.0002
('brown bread', 'honey');0;0.0
('brown bread', 'decalcifier');1;0.0001
('brown bread', 'cream');1;0.0001
('brown bread', 'frozen fruits');0;0.0
('brown bread', 'hair spray');2;0.0002
('brown bread', 'rubbing alcohol');0;0.0
('brown bread', 'liqueur');0;0.0
('brown bread', 'whisky');0;0.0
('brown bread', 'salad dressing');0;0.0
('brown bread', 'make up remover');1;0.0001
('brown bread', 'toilet cleaner');0;0.0
('brown bread', 'frozen chicken');0;0.0
('brown bread', 'baby cosmetics');0;0.0
('brown bread', 'bags');0;0.0
('brown bread', 'kitchen utensil');0;0.0
('brown bread', 'preservation products');0;0.0
('brown bread', 'baby food');1;0.0001
('brown bread', 'sound storage medium');0;0.0
('domestic eggs', 'frankfurter');69;0.007
('domestic eggs', 'margarine');82;0.0083
('domestic eggs', 'coffee');49;0.005
('domestic eggs', 'pork');55;0.0056
('domestic eggs', 'butter');95;0.0097
('domestic eggs', 'curd');64;0.0065
('domestic eggs', 'beef');59;0.006
('domestic eggs', 'napkins');59;0.006
('domestic eggs', 'chocolate');36;0.0037
('domestic eggs', 'frozen vegetables');51;0.0052
('domestic eggs', 'chicken');61;0.0062
('domestic eggs', 'white bread');57;0.0058
('domestic eggs', 'cream cheese');50;0.0051
('domestic eggs', 'waffles');32;0.0033
